# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\intelFPGA_lite\18.1\luanvan\ecc_top.csv
# Generated on: Fri May 17 01:21:00 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk,Input,,,,PIN_M16,,,,,,,,,,,,,,
din,Input,,,,PIN_C8,,,,,,,,,,,,,,
dout,Output,,,,PIN_F7,,,,,,,,,,,,,,
mode[2],Input,,,,PIN_H6,,,,,,,,,,,,,,
mode[1],Input,,,,PIN_E7,,,,,,,,,,,,,,
mode[0],Input,,,,PIN_D9,,,,,,,,,,,,,,
rst,Input,,,,PIN_L18,,,,,,,,,,,,,,
start,Input,,,,PIN_G6,,,,,,,,,,,,,,
status[1],Output,,,,PIN_AA10,,,,,,,,,,,,,,
status[0],Output,,,,PIN_T13,,,,,,,,,,,,,,
test_num,Input,,,,PIN_L7,,,,,,,,,,,,,,
